id;visitatore_id;opera_id;timestamp;durata;data_visita;source_file;fonte;data_creazione;timestamp_visita
0;60;74;1662811200;1282;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
1;47;8;1662811200;1418;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
2;92;9;1662811200;1424;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
3;38;27;1662811200;813;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
4;45;2;1662811200;508;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
5;41;75;1662811200;556;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
6;55;44;1662811200;684;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
7;2;10;1662811200;161;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
8;63;89;1662811200;1856;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
9;100;57;1662811200;1835;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
10;42;3;1662811200;455;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
11;95;26;1662811200;233;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
12;77;41;1662811200;1396;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
13;57;7;1662811200;195;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
14;57;45;1662811200;502;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
15;94;38;1662811200;1555;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
16;95;99;1662811200;577;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
17;68;37;1662811200;495;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
18;70;7;1662811200;881;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
19;3;84;1662811200;945;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
20;67;18;1662811200;882;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
21;53;40;1662811200;1124;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
22;10;27;1662811200;1522;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
23;48;66;1662811200;1659;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
24;19;23;1662811200;915;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
25;66;55;1662811200;1251;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
26;66;29;1662811200;654;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
27;28;100;1662811200;1048;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
28;80;57;1662811200;650;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
29;53;87;1662811200;410;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
30;75;66;1662811200;232;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
31;31;16;1662811200;1552;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
32;41;4;1662811200;1670;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
33;37;87;1662811200;1515;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
34;14;92;1662811200;1103;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
35;56;93;1662811200;1546;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
36;30;59;1662811200;1553;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
37;71;63;1662811200;1535;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
38;72;26;1662811200;1717;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
39;2;31;1662811200;1210;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
40;45;55;1662811200;921;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
41;68;59;1662811200;654;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
42;45;44;1662811200;690;2022-09-21T00:00:00.000+02:00;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/visite/test/processed/raw_visite_100.csv;test;2022-09-10T14:00:00.000+02:00;2022-09-21T18:40:22.000+02:00
