id,visitatore,opera,durata,timestamp,data
0,846,919,17:13,1662811200,2022\09\21 18:40:22,
1,265,541,19:38,1662811200,2022\09\21 18:40:22,
2,580,568,16:34,1662811200,2022\09\21 18:40:22,
3,266,552,12:30,1662811200,2022\09\21 18:40:22,
4,677,180,23:23,1662811200,2022\09\21 18:40:22,
5,413,596,8:11,1662811200,2022\09\21 18:40:22,
6,248,369,9:40,1662811200,2022\09\21 18:40:22,
7,734,181,18:35,1662811200,2022\09\21 18:40:22,
8,187,224,21:16,1662811200,2022\09\21 18:40:22,
9,605,217,3:30,1662811200,2022\09\21 18:40:22,
10,24,604,29:38,1662811200,2022\09\21 18:40:22,
11,404,218,15:44,1662811200,2022\09\21 18:40:22,
12,871,87,16:24,1662811200,2022\09\21 18:40:22,
13,665,26,26:21,1662811200,2022\09\21 18:40:22,
14,180,431,1:20,1662811200,2022\09\21 18:40:22,
15,699,581,30:58,1662811200,2022\09\21 18:40:22,
16,99,549,21:28,1662811200,2022\09\21 18:40:22,
17,171,830,2:49,1662811200,2022\09\21 18:40:22,
18,112,785,9:43,1662811200,2022\09\21 18:40:22,
19,282,853,27:37,1662811200,2022\09\21 18:40:22,
20,108,478,10:56,1662811200,2022\09\21 18:40:22,
21,713,808,7:14,1662811200,2022\09\21 18:40:22,
22,446,170,28:48,1662811200,2022\09\21 18:40:22,
23,719,46,7:50,1662811200,2022\09\21 18:40:22,
24,779,369,4:37,1662811200,2022\09\21 18:40:22,
25,528,300,29:37,1662811200,2022\09\21 18:40:22,
26,230,30,29:54,1662811200,2022\09\21 18:40:22,
27,500,941,4:11,1662811200,2022\09\21 18:40:22,
28,893,912,25:52,1662811200,2022\09\21 18:40:22,
29,321,524,24:17,1662811200,2022\09\21 18:40:22,
30,733,803,22:17,1662811200,2022\09\21 18:40:22,
31,533,723,23:35,1662811200,2022\09\21 18:40:22,
32,42,655,29:32,1662811200,2022\09\21 18:40:22,
33,47,292,3:31,1662811200,2022\09\21 18:40:22,
34,674,41,12:55,1662811200,2022\09\21 18:40:22,
35,297,263,21:45,1662811200,2022\09\21 18:40:22,
36,860,644,22:24,1662811200,2022\09\21 18:40:22,
37,856,504,25:22,1662811200,2022\09\21 18:40:22,
38,475,502,4:35,1662811200,2022\09\21 18:40:22,
39,966,623,13:25,1662811200,2022\09\21 18:40:22,
40,381,148,19:28,1662811200,2022\09\21 18:40:22,
41,237,626,3:17,1662811200,2022\09\21 18:40:22,
42,506,983,28:12,1662811200,2022\09\21 18:40:22,
