ID, NOME, ANNO
0,Nome autore 0,1995,
1,Nome autore 1,1924,
2,Nome autore 2,1999,
3,Nome autore 3,1918,
4,Nome autore 4,1963,
5,Nome autore 5,1976,
6,Nome autore 6,1947,
7,Nome autore 7,1911,
8,Nome autore 8,1985,
9,Nome autore 9,1926,
10,Nome autore 10,1913,
11,Nome autore 11,1913,
12,Nome autore 12,1985,
13,Nome autore 13,1922,
14,Nome autore 14,1959,
15,Nome autore 15,1967,
16,Nome autore 16,1939,
17,Nome autore 17,1981,
18,Nome autore 18,1938,
19,Nome autore 19,1920,
20,Nome autore 20,1944,
21,Nome autore 21,1995,
22,Nome autore 22,1945,
23,Nome autore 23,1977,
24,Nome autore 24,1905,
25,Nome autore 25,2009,
26,Nome autore 26,2011,
27,Nome autore 27,1973,
28,Nome autore 28,1901,
29,Nome autore 29,1942,
30,Nome autore 30,1968,
31,Nome autore 31,1988,
32,Nome autore 32,2004,
33,Nome autore 33,2016,
34,Nome autore 34,1944,
35,Nome autore 35,1921,
36,Nome autore 36,1920,
37,Nome autore 37,1946,
38,Nome autore 38,1950,
39,Nome autore 39,2001,
40,Nome autore 40,1974,
41,Nome autore 41,1981,
42,Nome autore 42,1926,
43,Nome autore 43,2012,
44,Nome autore 44,1986,
45,Nome autore 45,1913,
46,Nome autore 46,2010,
47,Nome autore 47,1988,
48,Nome autore 48,1941,
49,Nome autore 49,1947,
50,Nome autore 50,2009,
51,Nome autore 51,1966,
52,Nome autore 52,1922,
53,Nome autore 53,2006,
54,Nome autore 54,1930,
55,Nome autore 55,1929,
56,Nome autore 56,1924,
57,Nome autore 57,1916,
58,Nome autore 58,1936,
59,Nome autore 59,2000,
60,Nome autore 60,2012,
61,Nome autore 61,1948,
62,Nome autore 62,2019,
63,Nome autore 63,2020,
64,Nome autore 64,2008,
65,Nome autore 65,2004,
66,Nome autore 66,1927,
67,Nome autore 67,1917,
68,Nome autore 68,1994,
69,Nome autore 69,1970,
70,Nome autore 70,1973,
71,Nome autore 71,1942,
72,Nome autore 72,2007,
73,Nome autore 73,1948,
74,Nome autore 74,1951,
75,Nome autore 75,2004,
76,Nome autore 76,2020,
77,Nome autore 77,2016,
78,Nome autore 78,2020,
79,Nome autore 79,1905,
80,Nome autore 80,2013,
81,Nome autore 81,1944,
82,Nome autore 82,2002,
83,Nome autore 83,1972,
84,Nome autore 84,1960,
85,Nome autore 85,1976,
86,Nome autore 86,1952,
87,Nome autore 87,1927,
88,Nome autore 88,1988,
89,Nome autore 89,1949,
90,Nome autore 90,1967,
91,Nome autore 91,1908,
92,Nome autore 92,2002,
93,Nome autore 93,2001,
94,Nome autore 94,1969,
95,Nome autore 95,1938,
96,Nome autore 96,1903,
97,Nome autore 97,1922,
98,Nome autore 98,1934,
99,Nome autore 99,1929,
100,Nome autore 100,2013,
101,Nome autore 101,1912,
102,Nome autore 102,1967,
103,Nome autore 103,1975,
104,Nome autore 104,1990,
105,Nome autore 105,1922,
106,Nome autore 106,1961,
107,Nome autore 107,1990,
108,Nome autore 108,2019,
109,Nome autore 109,1953,
110,Nome autore 110,1968,
111,Nome autore 111,2006,
112,Nome autore 112,1949,
113,Nome autore 113,1968,
114,Nome autore 114,1944,
115,Nome autore 115,1994,
116,Nome autore 116,1998,
117,Nome autore 117,1968,
118,Nome autore 118,1946,
119,Nome autore 119,1976,
120,Nome autore 120,2015,
121,Nome autore 121,1954,
122,Nome autore 122,1964,
123,Nome autore 123,1980,
124,Nome autore 124,1986,
125,Nome autore 125,2002,
126,Nome autore 126,1972,
127,Nome autore 127,1995,
128,Nome autore 128,1973,
129,Nome autore 129,1935,
130,Nome autore 130,2015,
131,Nome autore 131,1901,
132,Nome autore 132,1975,
133,Nome autore 133,1933,
134,Nome autore 134,1972,
135,Nome autore 135,1947,
136,Nome autore 136,1963,
137,Nome autore 137,1905,
138,Nome autore 138,1972,
139,Nome autore 139,1916,
140,Nome autore 140,2010,
141,Nome autore 141,1917,
142,Nome autore 142,1953,
143,Nome autore 143,2011,
144,Nome autore 144,1952,
145,Nome autore 145,1956,
146,Nome autore 146,2012,
147,Nome autore 147,1993,
148,Nome autore 148,1913,
149,Nome autore 149,1993,
150,Nome autore 150,1994,
151,Nome autore 151,1913,
152,Nome autore 152,1987,
153,Nome autore 153,1997,
154,Nome autore 154,1974,
155,Nome autore 155,1996,
156,Nome autore 156,1974,
157,Nome autore 157,1959,
158,Nome autore 158,1920,
159,Nome autore 159,1955,
160,Nome autore 160,1952,
161,Nome autore 161,2000,
162,Nome autore 162,1916,
163,Nome autore 163,1919,
164,Nome autore 164,1952,
165,Nome autore 165,1988,
166,Nome autore 166,1944,
167,Nome autore 167,1927,
168,Nome autore 168,1910,
169,Nome autore 169,2013,
170,Nome autore 170,1960,
171,Nome autore 171,1995,
172,Nome autore 172,1957,
173,Nome autore 173,1953,
174,Nome autore 174,2019,
175,Nome autore 175,1906,
176,Nome autore 176,1916,
177,Nome autore 177,2001,
178,Nome autore 178,2020,
179,Nome autore 179,1989,
180,Nome autore 180,1914,
181,Nome autore 181,1984,
182,Nome autore 182,1969,
183,Nome autore 183,1998,
184,Nome autore 184,1976,
185,Nome autore 185,1933,
186,Nome autore 186,1942,
187,Nome autore 187,1957,
188,Nome autore 188,1993,
189,Nome autore 189,1914,
190,Nome autore 190,1970,
191,Nome autore 191,1936,
192,Nome autore 192,2009,
193,Nome autore 193,1921,
194,Nome autore 194,1925,
195,Nome autore 195,1925,
196,Nome autore 196,1971,
197,Nome autore 197,1930,
198,Nome autore 198,1916,
199,Nome autore 199,1973,
200,Nome autore 200,1938,
201,Nome autore 201,1947,
202,Nome autore 202,1915,
203,Nome autore 203,1906,
204,Nome autore 204,1906,
205,Nome autore 205,1966,
206,Nome autore 206,2011,
207,Nome autore 207,2017,
208,Nome autore 208,1973,
209,Nome autore 209,1926,
210,Nome autore 210,2014,
211,Nome autore 211,1940,
212,Nome autore 212,1994,
213,Nome autore 213,1905,
214,Nome autore 214,1952,
215,Nome autore 215,1935,
216,Nome autore 216,1915,
217,Nome autore 217,1942,
218,Nome autore 218,1911,
219,Nome autore 219,1950,
220,Nome autore 220,1991,
221,Nome autore 221,2018,
222,Nome autore 222,1945,
223,Nome autore 223,1995,
224,Nome autore 224,2016,
225,Nome autore 225,1957,
226,Nome autore 226,1983,
227,Nome autore 227,2001,
228,Nome autore 228,1995,
229,Nome autore 229,1922,
230,Nome autore 230,1943,
231,Nome autore 231,1992,
232,Nome autore 232,1947,
233,Nome autore 233,1937,
234,Nome autore 234,1965,
235,Nome autore 235,1994,
236,Nome autore 236,1948,
237,Nome autore 237,2004,
238,Nome autore 238,1928,
239,Nome autore 239,1963,
240,Nome autore 240,1997,
241,Nome autore 241,1907,
242,Nome autore 242,1994,
243,Nome autore 243,1923,
244,Nome autore 244,1924,
245,Nome autore 245,1931,
246,Nome autore 246,1993,
247,Nome autore 247,1973,
248,Nome autore 248,1955,
249,Nome autore 249,1999,
250,Nome autore 250,1970,
251,Nome autore 251,1986,
252,Nome autore 252,1961,
253,Nome autore 253,1986,
254,Nome autore 254,1951,
255,Nome autore 255,1957,
256,Nome autore 256,1958,
257,Nome autore 257,1954,
258,Nome autore 258,1956,
259,Nome autore 259,1933,
260,Nome autore 260,1922,
